               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  92,            0.023135,           0.0061746,                   0,             0.97168,             0.98295,             0.99011,             0.74109,            0.019811,            0.003339,                   0,           0.0063964,           0.0063964,           0.0063964
                  93,            0.022781,           0.0059224,                   0,             0.96092,             0.98854,             0.99051,             0.74466,            0.019232,           0.0033293,                   0,           0.0063568,           0.0063568,           0.0063568
                  94,            0.023072,           0.0056479,                   0,             0.94734,              0.9914,             0.98638,             0.72601,            0.019751,           0.0033597,                   0,           0.0063172,           0.0063172,           0.0063172
                  95,             0.02406,           0.0058839,                   0,             0.96235,             0.98281,             0.98535,               0.738,            0.018366,           0.0033854,                   0,           0.0062776,           0.0062776,           0.0062776
                  96,            0.023048,           0.0058937,                   0,             0.96869,             0.98567,              0.9871,             0.73859,            0.018281,           0.0033726,                   0,            0.006238,            0.006238,            0.006238
                  97,            0.025181,           0.0057822,                   0,             0.97182,               0.988,             0.98972,              0.7366,            0.018648,           0.0033196,                   0,           0.0061984,           0.0061984,           0.0061984
                  98,            0.022657,           0.0059129,                   0,             0.96377,              0.9909,             0.98786,             0.75688,            0.017314,           0.0033064,                   0,           0.0061588,           0.0061588,           0.0061588
                  99,            0.021676,              0.0055,                   0,             0.96651,             0.99226,             0.98914,             0.74729,            0.018843,           0.0033057,                   0,           0.0061192,           0.0061192,           0.0061192
                 100,            0.024527,           0.0057955,                   0,             0.97188,             0.99024,             0.98906,             0.72615,            0.019241,           0.0034246,                   0,           0.0060796,           0.0060796,           0.0060796
                 101,            0.023119,           0.0055065,                   0,              0.9691,              0.9914,             0.99039,             0.74663,            0.018937,           0.0034616,                   0,             0.00604,             0.00604,             0.00604
                 102,            0.022745,           0.0055969,                   0,             0.96378,             0.99115,             0.99071,             0.74885,            0.017821,           0.0033787,                   0,           0.0060004,           0.0060004,           0.0060004
                 103,            0.022109,           0.0056586,                   0,             0.97468,             0.99254,             0.99169,             0.76609,            0.017426,             0.00326,                   0,           0.0059608,           0.0059608,           0.0059608
                 104,              0.0213,           0.0054551,                   0,             0.97189,             0.99054,             0.99268,             0.75177,            0.018104,           0.0033036,                   0,           0.0059212,           0.0059212,           0.0059212
                 105,            0.021921,           0.0061512,                   0,             0.97492,             0.98854,             0.99109,             0.77473,            0.017207,           0.0032219,                   0,           0.0058816,           0.0058816,           0.0058816
                 106,            0.022675,           0.0055353,                   0,             0.97164,              0.9816,             0.98965,             0.75396,            0.017399,           0.0032278,                   0,            0.005842,            0.005842,            0.005842
                 107,            0.022419,           0.0057177,                   0,             0.96903,              0.9863,             0.99109,             0.75295,            0.017854,           0.0032578,                   0,           0.0058024,           0.0058024,           0.0058024
